id,cim,reszletes_cim,teljes_ar,reszletes_ar,terulet,nm_ar,szobak,epitesi_ev,szint,ingatlan_allapota,futes,erkely,parkolas,hirdeto_tipus,kepek_szama,leiras,link,telekterulet,energetikai,ingatlanos,telefon,allapot,epulet_szintjei,kilatas,parkolohely_ara,komfort,legkondicionalas,akadalymentesites,furdo_wc,tetoter,pince,parkolo,tajolas,kert,napelem,szigeteles,rezsikoltség
75,"Érd, Érdliget",,"74,90 M Ft",,55 m2,1 361 818 Ft / m2,,1981 és 2000 között,,közepes állapotú,gázkazán,,udvari beálló - benne van az árban,ingatlaniroda,14,"Érd-ligeten kertvárosi környezetben, a Fűzfa utcában, kínálok megvételre, panorámás kilátással egy önálló családi házat.

ÉPÍTÉSI TELEKNEK IS MEGFELELŐ !

A ház 1981-ben épült, hasznos alapterülete 55 m2. Elrendezése szoba 15 m2, konyha+étkező 15 m2, WC fürdő 7 nm, 1 fél szoba 10 nm,előtér 3 nm helységekből áll.
Téglából épült, szerkezetileg jó állapotú, világos, természetes belső terekkel, a nagy ablakoknak köszönhetően.
Fűtése gázcirkóval, radiátoros hőleadókkal megoldott.
A házon 2014- ben részben tetőcsere volt, cserépfedéssel, fürdőszoba és WC-ék kompletten felújításra kerültek.

A ház mellett elkezdett garázs, körülötte rendezett udvar és kert termő gyümölcsfákkal.
Érd központ, vasútállomás 10 perc, buszmegálló 10 percnyire gyalogosan.
Orvosi rendelő, bolt gyalogtávolságra.
Ajánlom m...",https://ingatlan.com/32798399,766 m2,,,,,,,,,,,,,,,,,,,
76,"Érd, Érdliget",,"64,90 M Ft",,75 m2,865 333 Ft / m2,,1950 és 1980 között,,közepes állapotú,gáz (konvektor),,önálló garázs - benne van az árban,ingatlaniroda,15,"--- ÉRDLIGETEN, CSENDES MELLÉK UTCÁBAN, VASUTHOZ, BUSZOKHOZ ÉS MINDENHEZ IS KÖZEL, JÓ ADOTTSÁGÚ TELEK, FELUJITANDÓ HÁZZAL ---


AZ INGATLAN ÉRDLIGET VASUTÁLLOMÁSTÓL PÁR UTCÁNYIRA TALÁLHATÓ, CSENDES MELLÉK UTCÁBAN.

A telek sík, 20 méteres utcafrontja van.

A telken található egy 55 nm-s tégla ház terasszal és egy különálló 20 nm-es, szintén tégla építésű, különálló épület.

A HÁZ elrendezése 2 szoba, konyha, étkező, fürdőszoba, előszoba.
Fűtése gázkonvektorral és kandallóval megoldott.

A KISHÁZAT nyárikonyhaként használták. Ide is be vannak vezetve a közművek. Ez az épület egy helyiségből és egy toalettből áll.
Térképen mindkét épület fel van tüntetve.

A ház és a kisház is szerkezetileg stabil, nincsenek repedések, felázás vagy penészesedés.

A telek összközműves, víz, gáz, csatorna, vil...",https://ingatlan.com/34792317,535 m2,,,,,,,,,,,,,,,,,,,
77,"Érd, Érdliget",,117 M Ft,,153 m2,764 705 Ft / m2,,1981 és 2000 között,,újszerű,"hűtő-fűtő klíma, hőszivattyú",,udvari beálló - benne van az árban,ingatlaniroda,26,"Érdligeten eladó frissen és teljeskörűen felújított, azonnal költözhető, nettó 130 nm-es (bruttó 153 nm), amerikai konyha-nappalis, 3 hálós, duplakomfortos, légkondicionált, modern és igényes, tehermentes, albetétesített, hitelezhető ikerház fél, 190 nm-es saját leválasztott kerttel (saroktelken).
Igény esetén a fotókon és videón látható bútorozottsággal is birtokba vehető - az árban benne van.
A ház az 1970-es években épült. A tető felújítása 6 éve történt meg, kifogástalan állapotban van. Ezen és a szintén tökéletes állapotú konyhabútoron kívül minden modernizált, felújított.
A fűtésről jelenleg hűtő-fűtő klíma gondoskodik, de a teljes műszaki előkészítés megtörtént a hőszivattyúhoz is igény esetén.
A házban a friss levegőt a non-stop működő gépi szellőzés biztosítja.
A házhoz kis terasz...",https://ingatlan.com/34087169,190 m2,,,,,,,,,,,,,,,,,,,
78,"Érd, Érdliget",,680 M Ft,,690 m2,985 507 Ft / m2,8 + 3 fél,2012,,újszerű,"gázkazán, padlófűtés, kandalló",,önálló garázs,ingatlaniroda,15,"AMERIKAI STÍLUSÚ LUXUSVILLA ÉRDLIGETEN

Közel 700 nm-es impozáns ingatlan 2012-ben épült, több mint 2000 nm-es panorámás telken.

Bejárata egy nagy méretű fogadószobába nyílik,ahonnan a hatalmas étkező-konyha-nappali közelíthető meg. Ezen a szinten kapott helyet a szülői hálószoba gardróbbal és fürdőszobával,a hobbi szoba szaunával és gőzkabinnal,valamint a mosókonyha és és egyéb kiszolgáló helyiségek. Több irányból kijuthatunk az összesen 150 nm-es teraszra,onnan a gyönyörű kertbe,ahol fűtött medence,halas tó,jakuzzi és egy madárkert található.

Az emeleten 2 különálló lakrész lett kialakítva. Mindkettő saját nappalival,hálószobával, gardróbbal,fürdőszobával és panoráma terasszal rendelkezik. Ezen a szinten található még plusz egy vendégszoba fürdővel.

A házhoz egy nagyméretű garázs tart...",https://ingatlan.com/34698024,690 m2,,,,,,,,,,,,,,,,,,,
79,"Érd, Nyárád utca",,"47,90 M Ft",,79 m2,606 329 Ft / m2,,,,közepes állapotú,"gáz (konvektor), kandalló",,udvari beálló - benne van az árban,maganszemely,1,"Alacsony fenntartású, önálló családi ház eladó.

A Szabadidőpark (Záportározó) szomszédságában eladó egy földszintes, alacsony rezsiköltségű, különálló, (nem iker!) saroktelken levő, nettó 64m2-es családi ház.
Az telek 412m2-es, melyen szőlő, meggyfa található.
A házban 2 különálló szoba, étkezős konyha, fürdőszoba, előszoba és közlekedő található.
Fűtése gázkonvektoros, illetve van egy kandalló is. Bár az utóbbit mi nem használtuk évek óta, de kipróbáltuk, jól működött.
A ház bejáratánál van egy kis terasz, a hátsó kertben pedig egy két részre osztott tároló (2 külön bejárattal) és egy ól, ami szintén tárolóként funkcionál.
Az ingatlan lakható állapotban van, jelenleg is lakjuk, csak ""kinőttük"".
Konyhában, közlekedőben, fürdőszobában, szobában pvc van, előszobában járólap, nappaliban lami...",https://ingatlan.com/33523262,412 m2,,,,,,,,,,,,,,,,,,,
80,"Érd, Érdliget",,199 M Ft,,200 m2,995 000 Ft / m2,,2024,,,"hőszivattyú, padlófűtés, fan-coil",,udvari beálló - benne van az árban,ingatlaniroda,11,"ÖRÖKPANORÁMÁS, ÚJ ÉPÍTÉSŰ LUXUS CSALÁDI HÁZ ELADÓ ÉRD - DIÓSD HATÁRÁN
Képzelje el, hogy minden reggel a LENYŰGÖZŐ PANORÁMÁBAN ébredhet!

Eladó egy ÖRÖKPANORÁMÁS, ÚJ ÉPÍTÉSŰ, PRÉMIUM kategóriás családi ház Érd és Diósd határán ősfás környezetben Érd egyik legkeresettebb, csendes részén új építésű házakkal körülvett részén.
Ez a 150 m²-es, nappali + 5 szobás LUXUSOTTHON a legmodernebb technológiával és prémium minőségű anyagokkal épült, hogy a legmagasabb kényelmet és időtállóságot biztosítsa.
Minden részletében a LUXUST, a PRÉMIUM ÉLETMINŐSÉGET képviseli.

FŐBB JELLEMZŐK:
150 nm lakótér + 101 nm terasz Nappali + 5 szoba – tágas, világos terek 3 fürdőszoba – prémium minőségű szaniterekkel
Háztartási helyiség és gardrób – praktikus tárolási megoldások Különálló tároló és autóbeálló
Földszint:...",https://ingatlan.com/34542753,557 m2,A+,,,,,,,,,,,,,,,,,,
81,"Érd, Érdliget",,120 M Ft,,280 m2,428 571 Ft / m2,,1950 és 1980 között,,közepes állapotú,gázkazán,,önálló garázs - benne van az árban,ingatlaniroda,5,"Érdligeten, csendes, közkedvelt utcában, 2 generációs családi ház eladó!

A 818 nm-s telken két ház található, melyek két különböző utcáról közelíthető meg.
Mindkét ház külön mérőórákkal rendelkezik, a kert középen elválasztható.

A nagyobb ház földszintje 77 nm-s, nappali, szoba, konyha és fürdőszoba, az emelet 68 nm-s, nappali, két szoba, konyha és fürdőszoba. Hozzá építettek még egy szobát, ahonnan nyílik a nagy ház alatti alagsori szint, kazánházzal és tárolókkal.
Autóval a fedett beállóban parkolhatunk.
A fűtés gáz cirkóval és gázkazánnal megoldott, nyílászárók korszerű műanyag keretesek. Minden közmű külön mérhető!

A kisebbik ház 80 nm-s, ami egy hatalmas nappaliból, fürdőszobából és egy szobából áll, amit elkezdtek konyhának kialakítani.
A ház mellet található egy 20 nm-s tároló és...",https://ingatlan.com/33592324,280 m2,,,,,,,,,,,,,,,,,,,
82,"Érd, Tárnoki út",,355 M Ft,,592 m2,599 662 Ft / m2,,1981 és 2000 között,,jó állapotú,házközponti,,,maganszemely,0,"Érdliget területén várja új tulajdonosát egy 90-es évek közepén épült, közel 600 m2-es kastély jellegű, jó állapotban lévő ingatlan, 2.592 m2-es telken.

A házhoz dupla garázs tartozik, ill. ősfákkal, szökőkúttal díszített park található, a kertben fúrt kúttal.

Az épület földszinti részén elegáns előszoba, dolgozószoba, mellékhelyiség, konditerem, szauna, mosókonyha, ill. a gépészet található. Innen belső átjáróval jutunk a garázsba. A főbejárat előtt fedett gépkocsi fogadó.

A lépcsőházban lift beállítására alkalmas hely lett kialakítva.

A középső szinten található egy konyha étkezővel, 36 m2-es terasszal, tölgyfából készült főzőszigetes konyhapult, melyen gránit munkalap van, ill. tágas, világos nappali, zöld márvány kandallóval.
A nappaliból nyílik egy 46 m2-es terasz és az épület a d...",https://ingatlan.com/33001422,592 m2,,,,,,,,,,,,,,,,,,,
83,"Érd, Érdliget",,"149,90 M Ft",,148 m2,1 012 837 Ft / m2,4 + 1 fél,2020,,újszerű,"gázkazán, padlófűtés",,önálló garázs - benne van az árban,ingatlaniroda,20,"KIVÁLÓ INFRASTRUKTÚRÁVAL RENDELKEZŐ PANORÁMÁS, UTCAFRONTI IKERHÁZ!

Ez a nem régen épült panorámás kilátással rendelkező IKER-ház KERESI tulajdonosát!!

Az ingatlan nettó 135 nm-es, 4+1 fél szobás két fürdővel, szemet gyönyörködtető kerttel, panorámás terasszal, garázs kialakítású!

NINCS SZOLGALMI ÚT,UTCFRONTRÓL VAN A BEJÁRAT MINDKÉT HÁZNAK!!!

TÖKÉLETES VÁLASZTÁS A NAGYVÁROSOK ZAJÁTÓL TÁVOLI, ENERGIAHATÉKONY ÁLOMOTTHONT KERESŐK SZÁMÁRA!

Szeretné meglepni szeretteit vagy biztonságban tudni a pénzét?

Akkor ha ön is így gondolja ajánlanám ezt az ingatlant!!

JÖJJENEK, NÉZZENEK KÖRÜL, HOGYAN IS ALAKÍTANÁK KI, az amúgy is gyönyörű otthont AZ ÖNÖK IGÉNYEI SZERINT!

Kérem hívjon, találkozzunk a helyszínen, hogy körbesétálhassunk a nyugodt , szép környezetben megépült ingatlant, alakítsuk ki e...",https://ingatlan.com/34915043,557 m2,,,,,,,,,,,,,,,,,,,
84,"Érd, Érdliget",,"139,90 M Ft",,157 m2,891 082 Ft / m2,,2025,,,"hőszivattyú, padlófűtés",,önálló garázs - benne van az árban,ingatlaniroda,30,"KÉT GYÖNYÖRŰ, PANORÁMÁS ÚJ ÉPÍTÉSŰ IKERLAKÁS ELADÓ ÉRDLIGET CSENDES UTCÁJÁBAN, SAJÁT TELEKKEL

90%-OS KÉSZÜLTSÉG, ÁTADÁS ADÁSVÉTELTŐL SZÁMÍTOTT EGY HÓNAP!

Érdliget csendes mellékutcájában kínálunk megvételre egy igényes kivitelezésű, ALACSONY REZSIJŰ, PANORÁMÁS, HŐSZIVATTYÚS, DUPLAGARÁZSOS, bruttó 210 nm-es (nettó 157 nm), nappali + 4 szobás, tágas amerikai konyhás, ÚJ ÉPÍTÉSŰ ikerházi lakást, a hozzá tartozó 637 nm-es telekkel.

Műszaki tartalom:
•Az alapban C16-os mixerbeton, a koszorúban és födémben C20-as mixerbeton. Aljzatbeton ESTRICH.
•Falazat: 30-as Porotherm tégla. Kívülről 15 cm-es DRYVIT. Felül 25 cm-es kőzetgyapot szigetelés. A válaszfal 10-es válaszfaltégla. Falak kétszer glettelve, fehér színre festve.
•Tető: 1. osztályú impregnált faanyag, antracit betoncserép.
•Nyílászárók...",https://ingatlan.com/34670444,637 m2,,,,,,,,,,,,,,,,,,,
85,"Érd, Érdliget",,"140,50 M Ft",,116 m2,1 211 206 Ft / m2,,1950 és 1980 között,,felújított,"hűtő-fűtő klíma, elektromos fűtőpanel, vegyes tüzelésű kazán",,önálló garázs - benne van az árban,ingatlaniroda,11,"Eladó napfényes családi ház Érdligeten 116 m², 805 m²-es telken

Ár: 140 500 000 Ft

Érdliget csendes, jól megközelíthető részén kínálunk eladásra egy 116 m²-es, téglaépítésű családi házat, 805 m²-es, gondozott telekkel. Az ingatlan kiváló műszaki állapotban van, számos korszerűsítéssel!

Ház jellemzői:

Téglaépítésű, 20 cm homlokzati szigetelés + szigetelt lábazat

Betonfödém, a födém szigetelés megrendelve

Tető: tartós cserepeslemez

Új villanyóra, 3x20 Amper, H tarifa

Hűtő-fűtő klíma, fürdőszobai falimelegítő

Vegyestüzelésű kazán

Konyhabútor és az előszobabútor a vételárban

Telek és külső adottságok:

805 m²-es napfényes kert

Térkövezett beálló egészen a garázsig

37 m2-es garázs ipari árammal és szerelőaknával, 16 m2-es pince

Szaletli, termő gyümölcsfák, ásott kút

Az ingatlan i...",https://ingatlan.com/34801392,805 m2,,,,,,,,,,,,,,,,,,,
86,"Érd, Budafoki út",,145 M Ft,,240 m2,604 166 Ft / m2,,1981 és 2000 között,,felújított,gázkazán,,udvari beálló - benne van az árban,ingatlaniroda,30,"ÚJ IRODÁT KERES VÁLLALKOZÁSÁNAK?


Megvételre kínálok egy 240 m2 alapterületű, 5 szobás, két szintes, ingatlant mely kiváló lehetőségeket rejt magában.

Az ingatlan elrendezése a következőképpen alakul:

FÖLDSZINT:

Földszinten található egy 28 m2-es “open office” iroda, melyben 7 munkaállomás kapott helyet, valamint két tárgyaló (9,6 m2-es és 8,3 m2-es), egy teakonyha és egy 31 m2-es műhely, mely igény szerint alakítható, berendezhető.

Igény szerint amerikai konyhás nappalivá alakítható. Ez a helyiség a korábbi években - mielőtt az irodai kialakítás megtörtént - is funkcionált hasonlóképpen.

EMELET:

Az emelet egy jól szeparált lépcsőházból közelíthető meg. Az emeleten kialakításra került egy nappali - szoba - gardrób - konyha - étkező elrendezésű lakás. Az ingatlan elhelyezkedéséből és...",https://ingatlan.com/34145570,240 m2,,,,,,,,,,,,,,,,,,,
87,"Érd, Érdliget",,65 M Ft,,79 m2,822 784 Ft / m2,2 + 1 fél,1981 és 2000 között,,felújítandó,"vegyes tüzelésű kazán, gázkazán",,önálló garázs,ingatlaniroda,18,"Érden 3 szobás tégla családi ház eladó!

Jellemzője:
-téglából épült, sávalapra, vízszigeteléssel;
-betonfödémmel rendelkezik;
-tetőszerkezet jó, héjazat cserére érett;
-67 m2-es ház, 2+1 szoba kialakítással;
-a ház állapota felújítandó;
-nincs repedés, süllyedés, vizesedés;
-fűtése radiátorokkal, vegyes tüzelésű és gázkazánnal;
-melléképületek 23,7 m2 és 17 m2-es garázs.

Bevásárló központ, vasútállomás 600 méterre!

Ára: 65 Millió Ft

Érdeklődni: Kardos Marianna",https://ingatlan.com/34736149,570 m2,,,,,,,,,,,,,,,,,,,
88,"Érd, Tulipán utca 13.",,"135,80 M Ft",,157 m2,864 968 Ft / m2,,2001 és 2010 között,,felújított,gázkazán,,önálló garázs - benne van az árban,maganszemely,0,"Tisztelt Érdeklődő!
Magánszemély tulajdonosként értékesítjük Érdliget legszebb-legjobb helyén a Tulipán utcában található családi házunkat!
A lokáció:A ház Budapesttől 15-18km-re található,nyugodt,csendes utcában,igényes luxus ingatlanok szomszédságában.A telek szinte sík,de mivel a dombtetőn helyezkedik el,csodás örök körpanoráma tárul elénk Budapestre,és a környező településekre.Néhány száz méteres körzetben található nívós iskola,gimnázium,vadonat új bölcsőde-óvoda,buszmegálló,Spar szupermarket,és a most épülő Lidl.
Az épület:A ház 667nm-es telken,30-as téglából épült,8-cm-es szigeteléssel,teljesen új takarékos kondenzációs kazánnal radiátor,és padlófűtéssel,műanyag nyílászárókkal,és kétrétegű üvegekkel rendelkezik.A szobák laminált parkettával a többi helyiség járólappal burkoltak.
Az ...",https://ingatlan.com/34089384,668 m2,,,,,,,,,,,,,,,,,,,
89,"Érd, Érdliget",,"119,90 M Ft",,143 m2,838 461 Ft / m2,,1981 és 2000 között,,felújított,gázkazán,,önálló garázs - benne van az árban,ingatlaniroda,17,"ELADÓ CSALÁDI HÁZ ÉRDLIGET BUJA ZÖLD, ŐSFÁS KÖRNYEZETÉBEN, TÖBBSZINTES BEÉPÍTETT TERASZOS MEGOLDÁSOKKAL, PÁRATLAN ÖRÖKPANORÁMÁVAL – Egy hely, ahol az otthon és a természet találkozikÉrdliget „Rózsadombján”, exkluzív, mégis természetközeli, csendes részén, Diósdliget határában vár új tulajdonosára ez az energiatakarékos, világos, panorámás családi ház. A 143 m²-es, könnyűszerkezetes, nappali+2 szobás (+1 szoba, mert a jelenleg gardrób 10 nm-es, ablakos, így szobaként is funkcionálhat) ingatlan 635 m²-es telken helyezkedik el, ahonnan páratlan panoráma tárul elénk.A ház praktikus beosztású, minden részletében gondosan tervezett, délkeleti fekvésének köszönhetően egész nap napfényes. Az alsó szinten tágas, teraszkapcsolatos nappali, teraszkapcsolatos étkező-konyha, kamra, gardróbszoba, fürdős...",https://ingatlan.com/34798711,635 m2,,,,,,,,,,,,,,,,,,,
90,"Érd, Érdliget",,355 M Ft,,353 m2,1 005 665 Ft / m2,,2021,,újszerű,hőszivattyú,,önálló garázs,ingatlaniroda,27,"KIZÁRÓLAG A CASA NETWORK BUDA KÍNÁLATÁBAN!

2023.július 15.-től költözhető!

ALACSONY REZSIKÖLTSÉGGEL üzemeltethető!

Érdliget, Diósdhoz közeli, közkedvelt családi házas részén, megvételre kínálok egy Tarnay Tünde építész-tervező által tervezett magas minőségben kivitelezett klasszikusan elegáns, stílusos vonalvezetésű családi villát.

Az ingatlan kivételes prémium kategóriát képviselő, saját részre épült családi otthon.
Érd város legszebb házának 3. helyezettjének díját vehette át.

A 2021- ben épült ház egy 1094 m2-es telken helyezkedik el.
Az ingatlan elé érkezve lenyűgöző látvány tárul elénk, impozáns oszlopok, előkert, egyedi építészeti megoldások ,melyek igazán egyedi megjelenésűvé teszik ezt a csodaszép villát.
A ház az utcához képest úgy került megtervezésre, hogy legyen egy belső ...",https://ingatlan.com/33288505,353 m2,,,,,,,,,,,,,,,,,,,
91,"Érd, Lótusz utca 5.",,"88,90 M Ft",,116 m2,766 379 Ft / m2,2 + 1 fél,1950 előtt,,felújítandó,"gáz (konvektor), cserépkályha",,udvari beálló - benne van az árban,ingatlaniroda,15,"Eladó egy sok lehetőséget kínáló ingatlan Érdligeten, nyugodt, csendes, főútközeli utcában.
(jelenleg hagyatéki eljárás van folyamatban, vételi ajánlat tehető rá)

A telek területe 1355 nm, enyhén lejtős. Kerekes kút található rajta.

A ház a telek középső részén helyezkedik el, ezáltal kellemes távolságban van az utcafronttól, és az enyhe lejtés miatt a kilátás is biztosított.

116 nm alapterületű, pár lépcső vezet fel a bejárati ajtóig, amin keresztül az előtér/étkezőbe juthatunk.

Jobb oldalon egy tárolóhelyiség található, majd egy kis oldalfolyosó vezet egy nagyobb, ablakos fürdőszobába, mely a hálószobához tartozik. Erről is kis folyosóról nyílik a pincelejárat. A pince két helyiségből áll, száraz, ablakos.

Bal oldalon a bejárati ajtó mögött egy szeparált külön wc (ablakos) található...",https://ingatlan.com/34899939,1355 m2,,,,,,,,,,,,,,,,,,,
92,"Érd, Érdliget",,"94,90 M Ft",,122 m2,777 868 Ft / m2,,2001 és 2010 között,,jó állapotú,"gázkazán, kandalló",,udvari beálló - benne van az árban,ingatlaniroda,15,"EZ NEM „TUCAT HÁZ”! MODERN KOMFORT a KÖZÉPKOR STÍLUSÁBAN! KERESÜK a HÁZ ÚJ ÚRÁT, ÚRHÖLGYÉT és APRÓDOKAT!
Az ingatlan belső stílusa minden helyiség apró kiegészítőjében harmonizál a belső homlokzat alap koncepciójával.
A ház Érdliget kerületében, a virágneves utcák között, 1122 m2-es birtokon fekszik. 2004-ben építették (bővítették) újjá. Összesen 132 m2 + 40 m2 tégla melléképület. Hasznos lakóterülete 113 m2. 3 szoba + nappalis összkomfortos épület.
A földszinti része 58 m2 + ~15 fedett terasz. Előszoba, 1 szoba + nappali, konyha-étkező és a felső szintre vezető lépcső található itt.
Az emeleten 55 m2-en a „bálteremből” nyílóan 2 hálószoba (jobb és bal szárnyon), 2 gardrób a kelméknek (az egyik zuhanyzóvá is átalakítható) és egy loggia került kialakításra.

A kellemes belső hőmérsékletről ...",https://ingatlan.com/34380178,1122 m2,,,,,,,,,,,,,,,,,,,
93,"Érd, Érdliget",,114 M Ft,,177 m2,644 067 Ft / m2,,1981 és 2000 között,,jó állapotú,gázkazán,,,ingatlaniroda,12,"Érdligeti családi ház akár két generációnak is!
Eladó családi ház Érden, Érdliget csendes övezetében!

Eladásra kínálunk egy remek állapotban lévő, 2000-ben épült, önálló családi házat Érd Érdliget részén, csendes, családi házas környezetben.
Az ingatlan 557 m²-es telken helyezkedik el, és nettó 177 m² hasznos alapterülettel rendelkezik.

A ház földszintjén található egy tágas és hangulatos átriumos nappali konyhával, valamint egy előszoba, egy hálószoba, egy wc és egy fürdőszoba. A nappali nagy teraszajtaja elektromos redőnnyel van felszerelve. A garázs egy autó beállására alkalmas, és szintén elektromos ajtóval rendelkezik.

Az emeleti szintre felérve a galériáról lenézhetünk a nappalira.
Ezen a szinten található még egy nagy nappali konyhával, három hálószoba és egy fürdőszoba is. A fen...",https://ingatlan.com/34342447,557 m2,,,,,,,,,,,,,,,,,,,
94,"Érd, Lótusz utca",,"78,50 M Ft",,110 m2,713 636 Ft / m2,,1950 előtt,,felújítandó,gáz (konvektor),,,maganszemely,0,"1940-es években épült 2 soros válaszfal téglából, masszív alápincézett, felújításra szoruló ház. Kerekeskúttal.",https://ingatlan.com/34762993,1355 m2,,,,,,,,,,,,,,,,,,,
95,"Érd, Ondava utca",,"149,90 M Ft",,200 m2,749 500 Ft / m2,,2020,,újszerű,"padlófűtés, gázkazán, hűtő-fűtő klíma",,udvari beálló - benne van az árban,maganszemely,2,"Belső kétszintes családi házunk csendes aszfaltozott zsákutcában található. A közelben van a Papi földek, játszótér, Tesco, Penny, Aldi, Lidl, két vasútállomás, buszmegálló, óvoda, általános iskola, posta, orvosi rendelő, mind sétatávolságra elérhető. A bruttó 162 m2-es (nettó 130) földszinten található 3 szoba, nappali-étkező, konyha, kamra, mosókonyha, 2 db WC, zuhanyzó, fürdőszoba, előszoba, folyosó, tároló, valamint a nappaliból nyílik a belső lépcsőház és egy nagy félig fedett hátsó terasz +(elkezdett külső tároló). A szobákban laminált parketta van, a többi helyiség járólapos. Az emeletre betonlépcső vezet. Az emelet kb. nettó 73 m2 és jelenleg kb. 80%-os készültségű (a 3 szobában laminált parketta van, a többi helyiség járólapos lesz). A ház alkalmas lehet két generáció együttélésér...",https://ingatlan.com/34281657,546 m2,C,,,,,,,,,,,,,,,,,,
96,"Érd, Érdliget",,79 M Ft,,97 m2,814 432 Ft / m2,4 + 1 fél,,,,"gázkazán, vegyes tüzelésű kazán",,önálló garázs,ingatlaniroda,12,"Érdligeten eladó felújítandó családi ház, a Papi Földek Városliget mellett!

Az ingatlan kertvárosi nyugalmas környezetben található.
Az érdligeti vasútállomástól gyalogosan 15 percre, autóval 5 percre.
Sétára pedig az érdi Városliget található.

A kert 553nm.
A ház 97nm+36nm garázs.
Garázs szerelőaknával ellátott, illetve wc és zuhanyzó is ki lett alakítva.
A házba innen is nyílik bejárat.
A házon 5cm-es hungarocell szigetelés van.
1970-es évek végén épült téglából.A tulajdonos építtette.
Belső kétszintes.
Az alsó szinten előszobából konyhába és a szobába jutunk.A szobából lehet az emeletre feljutni.
A ház alapjaiban jó,lakható,de felújítást illetve modernizálást igényel.
Fűtése gázkazán és vegyes tüzelésű kazánnal megoldott.

Ház
-szoba 4
-félszoba 1
-fürdőszoba
-wc 3
-előszoba

Környék
...",https://ingatlan.com/34910337,553 m2,E,,,,,,,,,,,,,,,,,,
97,"Érd, Érdliget",,"144,90 M Ft",,140 m2,1 035 000 Ft / m2,,2025,,,"hőszivattyú, padlófűtés",,önálló garázs - benne van az árban,ingatlaniroda,8,"Érdligeten Diósd határában Érd kiemelt környezetében olajfa telep szomszédságában( ősfás , zöldövezetes , panorámás területen )
eladó egy 538 m2-es önálló telken egy újépítésű, nettó 140 m2-es 4 szoba nappalis, duplagarázsos ,14 m2-3es fedett, oldalról nyitott ( nyugati fekvésű ) terasszal ellátott igényesen kivitelezett újépítésű családi ház.
Az ingatlan Cég által kivitelezett , minden kedvezményes hitel felvehető rá!
Önálló , hőszivattyús fűtésrendszerrel ellátott, EXTRA környezetben, ÚJÉPÍTÉSŰ CSALÁDI HÁZ!!
Rövid műszaki ismertető:
Vasalt C20 beton alap, zsalukő lábazat, 30 N+F kerámia tégla falazat, 10 N+F kerámia válaszfalazat, fafödém, tűz gátló anyaggal kezelt tetőgerendák, antracit Terrán betoncserép.
A kivitelező nagy hangsúlyt fektet a lehető legjobb hőszigetelésre: a 30 as N+F f...",https://ingatlan.com/34928025,538 m2,A+,,,,,,,,,,,,,,,,,,
98,"Érd, Érdliget",,"47,90 M Ft",,64 m2,748 437 Ft / m2,,1950 és 1980 között,,közepes állapotú,gáz (konvektor),,,ingatlaniroda,17,"Eladó 2 szobás családi ház Érdligeten – alacsony rezsi, remek elhelyezkedés

Érdliget egyik csendes, barátságos részén, a Rekreációs park közelében kínálunk megvételre egy egyszintes, 64 m²-es, önálló családi házat. Az ingatlan saroktelken, 412 m²-en helyezkedik el, és ideális lehet mindazok számára, akik elérhető árú, saját kerttel rendelkező otthont keresnek.

Főbb jellemzők:
-2 különnyíló szoba
-Konyha + étkező, fürdőszoba, előszoba, folyosó
-Kis terasz a bejáratnál – tökéletes reggeli kávézáshoz
-Alacsony fenntartási költségek, beköltözhető állapot
-Téglaház, cseréptetővel

Műszaki adatok:
-Fűtés: gázkonvektor + alternatív fűtésként kandalló
-Nyílászárók: fa ablakok redőnnyel
-Éjszakai áram rendelkezésre áll
-2 db nagy méretű tároló a kertben

Parkolási lehetőség:
-1-2 autó beállása me...",https://ingatlan.com/34904764,412 m2,,,,,,,,,,,,,,,,,,,
99,"Érd, Zagyva utca",,80 M Ft,,132 m2,606 060 Ft / m2,,1981 és 2000 között,,felújítandó,"gázkazán, vegyes tüzelésű kazán",,udvari beálló - benne van az árban,maganszemely,0,"KÉREM INGATLANOSOK NE ZAVARJANAK!Hétvégén érdeklődjenek telefonon mert hétköznap nem alkalmas ,vonatkozik ez a személyes megtekintésre is!!!Az eladó ház 132 m² alapterületű — ebből a hasznos terület 101 m² és sarok telken fekszik. 1974-ben épült, 1986-ban épült a tetőtér.Gyér forgalmú aszfaltozott utcában.
Felújítandó, lakható állapotú.Az ingatlant főleg energetikailag és esztétikailag kell felújítani! Jelenleg lakott. Földszinten: konyha, kamra, külön wc, fürdőszoba, előszoba, +2 szoba, lépcsőház.
Emeleten lomtár, előszoba, fürdőszoba+wc, +3 szoba.
Gáz- és vegyestüzelésű a fűtési rendszer, fali radiátorokkal és nyitott gravitációs tágulási tartállyal. A meleg vizet mindegyik szintre 1 villanybojler biztosítja. Részlegesen alápincézett 41 m²-en. A telek területén különálló nyeregtetős gazd...",https://ingatlan.com/34901492,689 m2,,,,,,,,,,,,,,,,,,,
